,team_name,color_primary,color_secondary
0,Arizona Cardinals,#97233f,#FFB612
1,Atlanta Falcons,#a71930,black
2,Baltimore Ravens,#241773,black
3,Buffalo Bills,#c60c30,#00338D
4,Carolina Panthers,#0085ca,black
5,Chicago Bears,#0b162a,#C83803
6,Cincinnati Bengals,#fb4f14,#101820
7,Cleveland Browns,#ff3c00,#311D00
8,Dallas Cowboys,#041e42,#869397
9,Denver Broncos,#024,#FB4F14
10,Detroit Lions,#0076b6,#B0B7BC
11,Green Bay Packers,#203731,#FFB612
12,Houston Texans,#03202f,#A71930
13,Indianapolis Colts,#002c5f,#002C5F
14,Jacksonville Jaguars,#006778,#D7A22A
15,Kansas City Chiefs,#e31837,#FFB81C
16,Los Angeles Chargers,#002a5e,#FFC20E
17,Los Angeles Rams,#003594,#ffd100
18,Miami Dolphins,#008e97,#F26A24
19,Minnesota Vikings,#512d6d,#FFB81C
20,New England Patriots,#024,#C60C30
21,New Orleans Saints,#d3bc8d,#000
22,New York Giants,#0b2265,#A71930
23,New York Jets,#003f2d,#003F2D
24,Oakland Raiders,#000,#A5ACAF
25,Philadelphia Eagles,#004c54,#A5ACAF
26,Pittsburgh Steelers,#000,#FFB612
27,San Francisco 49ers,#a00,#B3995D
28,Seattle Seahawks,#024,#69BE28
29,Tampa Bay Buccaneers,#d50a0a,#0A0A08
30,Tennessee Titans,#002a5c,#4495D1
31,Washington Redskins,#773141,#FFB612
32,St. Louis Rams,#003594,#FFA300
33,San Diego Chargers,#002A5E,#FFC20E
